Date,Time,Activity,Facility
dinsdag 3 juni 2025,18:30 – 19:00,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 3 juni 2025,18:30 – 21:30,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 3 juni 2025,19:00 – 19:30,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 3 juni 2025,19:45 – 20:30,Aquajoggen,Trefkuil
woensdag 4 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 4 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
woensdag 4 juni 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 4 juni 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 4 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
woensdag 4 juni 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 4 juni 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
woensdag 4 juni 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
woensdag 4 juni 2025,13:00 – 13:45,Zwemles,1/2 Tobbe (horecazijde)
woensdag 4 juni 2025,13:15 – 17:30,Zwemles,Trefkuil
woensdag 4 juni 2025,13:15 – 17:30,Zwemles,Spaardersbad
woensdag 4 juni 2025,20:00 – 21:30,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 5 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
donderdag 5 juni 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
donderdag 5 juni 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
donderdag 5 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
donderdag 5 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
donderdag 5 juni 2025,15:30 – 18:00,Zwemles,Trefkuil
donderdag 5 juni 2025,15:30 – 18:00,Zwemles,Spaardersbad
donderdag 5 juni 2025,19:45 – 20:30,Aquajoggen,Spaardersbad
donderdag 5 juni 2025,20:15 – 21:00,Zwanger & Fit,Trefkuil
vrijdag 6 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 6 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
vrijdag 6 juni 2025,10:00 – 10:45,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 6 juni 2025,11:00 – 11:45,Watergymnastiek,Trefkuil
vrijdag 6 juni 2025,15:30 – 18:00,Zwemles,Trefkuil
vrijdag 6 juni 2025,15:30 – 18:00,Zwemles,Spaardersbad
zaterdag 7 juni 2025,08:00 – 08:45,Zwemles,1/2 Tobbe (buitenbadzijde)
zaterdag 7 juni 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zaterdag 7 juni 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zaterdag 7 juni 2025,12:30 – 15:00,Zwemles,Trefkuil
zaterdag 7 juni 2025,12:30 – 15:00,Zwemles,Spaardersbad
