soort_sport,sportaanbieder,website
Freerunnen,Urban-Inside,https://www.urban-inside.nl/
Inline skating,Inline skating,https://www.scgouda.nl/
Aikido,Aikido Doyo Shinto Ryu,https://www.shintoryu.nl/
Aikido,Aikido Dojo Jin Chie Shin,https://aikido-gouda.nl/
Boksen,Goudse Boksvereniging,https://goudseboksvereniging.nl/
Batuque Capoeira,Batuque Capoeira Holland,https://capoeiraholland.com/
Judo | Karate | Boxing,Budo Top Nederland,https://www.budotopnederland.nl/
Ju Jitsu | Judo,Den Edel Fun to be Fit,https://www.denedelgouda.nl/index.php/ju-jitsu
Shaolin Kempo | Ryu Kyu Kobujutsu | Kempo MMA,Shaolin Kempo Kai,https://www.shaolinkempokai.nl/
Kickboksen | boksen,Silent Dragon Gouda,https://silentdragonholland.com/locaties/gouda/
Krav Maga,TryForce,https://www.tryforce.nl/
Muay Thai,Bengala Gym,http://www.bengala-gym.nl/
Tai Chi,WuWei Tai Chi,https://www.wuwei-school.nl/
Taekwondo | Boksen,Jitae Sport,https://www.facebook.com/people/Jitae-Sport/61560220855132/
Taekwondo,Riekebbe teakwondo,http://riekebbe.nl/
Taekwondo,Taekwondo Akkabouz,https://www.akabbouz.nl/
Taekwondo,Taekwondoschool Yinyangdo,https://www.facebook.com/sportschoolYinyangdo/
Voetbal,CVV De Jodan Boys,https://cvvdejodanboys.nl/
Voetbal,GC&FC Olympia,https://www.gcfc-olympia.nl/
(Zaal) Voetbal,SV Donk,https://www.svdonk.nl/
Voetbal,SV Gouda,https://www.svgouda.nl/
Voetbal,VV O.N.A.,https://www.vvona.nl/
Zaalvoetbal,GZV Watergras,https://www.watergras.nl/254/zaalvoetbalvereniging/
Volleybal,NAK,https://www.vvnak.nl/
(Beach)volleybal,Vollingo,https://vollingo.nl/
Volleybal,Volleybalvereniging Servylo,https://servylo.nl/
Recreatief volleybal,Recreatievolleybalvereniging De Schakel,https://goudabruist.nl/activiteit/77266/recreatief-en-lekker-volleyballen
Hardlopen,Loopgroep Gouda,https://www.loopgroepgouda.nl/
Powerwalking,Buitensportclub Gouda,https://buitensportclubgouda.nl/
Nordic Walking,Langlaufvereniging Gouda,https://www.langlauf.nl/over-nordic-walken
Slow Sports,Suzan Hartog LeefstijlAdvies,https://suzanhartog.nl/dienst/slow-sports/
Duiken | Snorkelen,De Goudse Sportduikers,http://www.dgs-gouda.nl/
Kanovaren,De Goudse Peddel,https://degoudsepeddel.nl/
Roeien | Zeilen | Suppen,Roei- en Zeilvereniging Gouda,https://www.roeienzeil.nl/
Zeilen | Sloeproeien | Suppen,GWV Elfhoeven,https://www.elfhoeven.nl/
Wegwielrennen |  Veldrijden,GRTC Excelsior,https://www.grtc-excelsior.nl/
Langlauf | Biatlon,Langlaufvereniging Gouda,https://www.langlauf.nl/
Schaatsen,Schaatsclub Gouda,https://www.scgouda.nl/
Aquasporten,SPORT•GOUDA,https://www.sportpuntgouda.nl/
Waterpolo | Wedstrijdzwemmen | Synchroonzwemmen,GZC Donk,https://www.gzcdonk.nl/index.html
Zwemmend redden,De Goudse Reddingsbrigade,https://www.goudsereddingsbrigade.nl/
MonkeyMoves,MonkeyMoves,https://gouda.monkeymoves.com/
SportPlus (5 t/m 8 jaar),Super Kids Coaching,https://superkidscoaching.nl/
Yoga,Mi Esencia,https://www.mi-esencia.nl/
Yoga,Yoga Bird,https://www.yogabird.nl/
Yoga,TACOYO,http://www.tacoyogouda.nl/
Waterscouting,Waterscouting St. Willibrordus,http://www.willibrordusgroep.nl
